212	IAB13-12	Tax Planning
213	IAB14	Society
214	IAB14-1	Dating
215	IAB14-2	Divorce Support
216	IAB14-3	Gay Life
217	IAB14-4	Marriage
218	IAB14-5	Senior Living
219	IAB14-6	Teens
220	IAB14-7	Weddings
221	IAB14-8	Ethnic Specific
222	IAB15	Science
223	IAB15-1	Astrology
224	IAB15-2	Biology
225	IAB15-3	Chemistry
226	IAB15-4	Geology
227	IAB15-5	Paranormal Phenomena
228	IAB15-6	Physics
229	IAB15-7	Space/Astronomy
230	IAB15-8	Geography
231	IAB15-9	Botany
232	IAB15-10	Weather
233	IAB16	Pets
234	IAB16-1	Aquariums
235	IAB16-2	Birds
236	IAB16-3	Cats
237	IAB16-4	Dogs
238	IAB16-5	Large Animals
239	IAB16-6	Reptiles
240	IAB16-7	Veterinary Medicine
241	IAB17	Sports
242	IAB17-1	Auto Racing
243	IAB17-2	Baseball
244	IAB17-3	Bicycling
245	IAB17-4	Bodybuilding
246	IAB17-5	Boxing
247	IAB17-6	Canoeing/Kayaking
248	IAB17-7	Cheerleading
249	IAB17-8	Climbing
250	IAB17-9	Cricket
251	IAB17-10	Figure Skating
252	IAB17-11	Fly Fishing
253	IAB17-12	Football
254	IAB17-13	Freshwater Fishing
255	IAB17-14	Game & Fish
256	IAB17-15	Golf
257	IAB17-16	Horse Racing
258	IAB17-17	Horses
259	IAB17-18	Hunting/Shooting
260	IAB17-19	Inline Skating
261	IAB17-20	Martial Arts
262	IAB17-21	Mountain Biking
263	IAB17-22	NASCAR Racing
264	IAB17-23	Olympics
265	IAB17-24	Paintball
266	IAB17-25	Power & Motorcycles
267	IAB17-26	Pro Basketball
268	IAB17-27	Pro Ice Hockey
269	IAB17-28	Rodeo
270	IAB17-29	Rugby
271	IAB17-30	Running/Jogging
272	IAB17-31	Sailing
273	IAB17-32	Saltwater Fishing
274	IAB17-33	Scuba Diving
275	IAB17-34	Skateboarding
276	IAB17-35	Skiing
277	IAB17-36	Snowboarding
278	IAB17-37	Surfing/Body-Boarding
279	IAB17-38	Swimming
280	IAB17-39	Table Tennis/Ping-Pong
281	IAB17-40	Tennis
282	IAB17-41	Volleyball
283	IAB17-42	Walking
284	IAB17-43	Waterski/Wakeboard
285	IAB17-44	World Soccer
286	IAB18	Style & Fashion
287	IAB18-1	Beauty
288	IAB18-2	Body Art
289	IAB18-3	Fashion
290	IAB18-4	Jewelry
291	IAB18-5	Clothing
292	IAB18-6	Accessories
293	IAB19	Technology & Computing
294	IAB19-1	3-D Graphics
295	IAB19-2	Animation
296	IAB19-3	Antivirus Software
297	IAB19-4	C/C++
298	IAB19-5	Cameras & Camcorders
299	IAB19-6	Cell Phones
300	IAB19-7	Computer Certification
301	IAB19-8	Computer Networking
302	IAB19-9	Computer Peripherals
303	IAB19-10	Computer Reviews
304	IAB19-11	Data Centers
305	IAB19-12	Databases
306	IAB19-13	Desktop Publishing
307	IAB19-14	Desktop Video
308	IAB19-15	Email
309	IAB19-16	Graphics Software
310	IAB19-17	Home Video/DVD
311	IAB19-18	Internet Technology
312	IAB19-19	Java
313	IAB19-20	JavaScript
314	IAB19-21	Mac Support
315	IAB19-22	MP3/MIDI
316	IAB19-23	Net Conferencing
317	IAB19-24	Net for Beginners
318	IAB19-25	Network Security
319	IAB19-26	Palmtops/PDAs
320	IAB19-27	PC Support
321	IAB19-28	Portable
322	IAB19-29	Entertainment
323	IAB19-30	Shareware/Freeware
324	IAB19-31	Unix
325	IAB19-32	Visual Basic
326	IAB19-33	Web Clip Art
327	IAB19-34	Web Design/HTML
328	IAB19-35	Web Search
329	IAB19-36	Windows
330	IAB20	Travel
331	IAB20-1	Adventure Travel
332	IAB20-2	Africa
333	IAB20-3	Air Travel
334	IAB20-4	Australia & New Zealand
335	IAB20-5	Bed & Breakfasts
336	IAB20-6	Budget Travel
337	IAB20-7	Business Travel
338	IAB20-8	By US Locale
339	IAB20-9	Camping
340	IAB20-10	Canada
341	IAB20-11	Caribbean
342	IAB20-12	Cruises
343	IAB20-13	Eastern Europe
344	IAB20-14	Europe
345	IAB20-15	France
346	IAB20-16	Greece
347	IAB20-17	Honeymoons/Getaways
348	IAB20-18	Hotels
349	IAB20-19	Italy
350	IAB20-20	Japan
351	IAB20-21	Mexico & Central America
352	IAB20-22	National Parks
353	IAB20-23	South America
354	IAB20-24	Spas
355	IAB20-25	Theme Parks
356	IAB20-26	Traveling with Kids
357	IAB20-27	United Kingdom
358	IAB21	Real Estate
359	IAB21-1	Apartments
360	IAB21-2	Architects
361	IAB21-3	Buying/Selling Homes
362	IAB22	Shopping
363	IAB22-1	Contests & Freebies
364	IAB22-2	Couponing
365	IAB22-3	Comparison
366	IAB22-4	Engines
367	IAB23	Religion & Spirituality
368	IAB23-1	Alternative Religions
369	IAB23-2	Atheism/Agnosticism
370	IAB23-3	Buddhism
371	IAB23-4	Catholicism
372	IAB23-5	Christianity
373	IAB23-6	Hinduism
374	IAB23-7	Islam
375	IAB23-8	Judaism
376	IAB23-9	Latter-Day Saints
377	IAB23-10	Pagan/Wiccan
378	IAB24	Uncategorized
379	IAB25	Non-Standard Content
380	IAB25-1	Unmoderated UGC
381	IAB25-2	Extreme Graphic/Explicit Violence
382	IAB25-3	Pornography
383	IAB25-4	Profane Content
384	IAB25-5	Hate Content
385	IAB25-6	Under Construction
386	IAB25-7	Incentivized
387	IAB26	Illegal Content
388	IAB26-1	Illegal Content
389	IAB26-2	Warez
390	IAB26-3	Spyware/Malware
391	IAB26-4	Copyright Infringement
